,productid,product_name,brand_name,event_date_of_launch,country_of_launch,market_category,market_subcategory,Company,uhc,nutrition,standard_serving_size,energy_kcal,protein,fat, Fiber_DietaryFiber,Fat,Fiber,Protein,Moisture,Ash,Calories
51,7810993,"Purina Pro Plan Performance 30 By 20 Turkey, Duck And Quail Formula Dry Pet Food For Canine Athletes",Pro Plan,2022-01-03,United States,Pet Food,Dog Food - Dry,Nestle Purina,Nestle,"serving size: 1kg, total calories: 4304kcal, crude protein : 30.0%, crude fat : 20.0%, crude fiber : 3.0%, moisture : 12.0%, linoleic acid: 1.8%, eicosapentaenoic acid (epa) : 0.12%, docosahexaenoic acid (dha) : 0.12%, calcium : 1.1%, phosphorus : 0.9%, selenium : 0.35mg, vitamin a: 15000iu, vitamin e : 500iu, ascorbic acid (vitamin c): 100mg, glucosamine: 500ppm, omega-6 fatty acids: 1.9%, bacillus coagulans: 600million cfu",1000.0,430400.0,,,,20.0,3.0,30.0,12.0,,4304
52,5800350,Purina Pro Plan Focus Healthy Metabolism Formula Chicken Entree In Gravy For Spayed And Neutered Cats,Pro Plan,2019-01-04,United States,Pet Food,Cat Food - Wet,Nestle Purina,Nestle,"l-carnitine(g/mg): 40mg, sodium carbonate (ash): 3%, crudefat: 2%, crudefiber: 1.5%, crudeprotein: 11%, moisture: 80%, taurine: 0.05%",,,,,,2,1.5,11,80,3,
53,7256927,Because Animals Pumpkin Noochies Organic Dog Cookies With Immune Support,Because Animals,2021-01-05,United States,Pet Food,Dog Snacks/Treats,Because Animals,Because Animals,"per serving size: 1kg, sodium carbonate (ash): 3.5%, crude fat: 1.5%, crude fiber: 2.5%, crude protein: 9.9%, moisture: 6.5%, total calories: 3280kcal, yeast beta glucan(g/mg): 5.5mg",100.0,328.0,,,,1.5,2.5,9.9,6.5,3.5,3280
54,6379123,Campfire Turkey Gizzards Natural Dog Treats,Campfire,2020-01-01,United States,Pet Food,Dog Snacks/Treats,Campfire Treats,Campfire Treats,"serving size: 1kg, energy(kj): 14518kj, energy(kcal): 3470kcal, crudefiber: 0.50%, crudeprotein: 77.00%, moisture: 11.00%, crudefat: 9.00%",1000.0,347000.0,,,,9.00,0.50,77.00,11.00,,
55,6689124,Victor Classic Crunchy Dog Treats With Turkey Meal,Victor,2020-01-06,United States,Pet Food,Dog Snacks/Treats,Mid America Pet Food,Mid America Pet Food,"crudeprotein: 16%, moisture: 10%, crudefae: 6%, crudefiber: 5%",,,,,,,5,16,10,,
56,7509112,Dr Elseys Cleanprotein Rabbit Recipe Grain Free Dry Cat Food,Dr Elseys,2021-01-10,United States,Pet Food,Cat Food - Dry,Dr Elseys,Dr Elseys,"per serving size: 1kg, energy kj: 16694.16kj, energy kcal: 3990kcal, crude fat: 18%, crude fiber: 4%, crude protein: 58%, eicosapentaenoic acid (epa): 0.06%, moisture: 12%, vitamin  e(g/mg): 150iu, docosapentaenoic acid (dha): 0.06%, omega 3  fatty acids: 1%",100.0,399.0,,,,18,4,58,12,,
57,4511470,Purina Bella Pampered Meals Inspired By Small Dogs With Beef And Smoked Bacon In Savory Juices,Bella,2018-01-02,United States,Pet Food,Dog Food - Wet,Nestle Purina,Nestle,"total calories: 925kcal, moisture: 82%, crudeprotein: 7.5%, crudefat: 3.5%, crudefiber: 1%",,925.0,,,,3.5,1,7.5,82,,925
58,7385428,Purina Pro Plan Sport Performance 30 20 Beef And Bison Formula Dry Dog Food,Pro Plan,2021-01-07,United States,Pet Food,Dog Food - Dry,Nestle Purina,Nestle,"per serving size: 1kg, vitamin   a(g/mg): 15000iu, calcium: 1.1%, bacilluscoagulans(g/mg): 600million cfu, crude fat: 20%, crude fiber: 3%, crude protein: 30%, dha: 0.12%, glucosamine(g/mg): 500ppm, linoleic acid: 1.8%, moisture: 12%, omega 6 fatty acids: 1.9%, phosphorus(p): 0.9%, vitamin c (g/mg): 100mg, vitamin  e(g/mg): 500iu, selenium(se)(g/mg): 0.35mg, eicospanetanoic acid: 0.12%",100.0,,,,,20,3,30,12,,
59,5247627,Sport Dog Food Elite Series Sporting Dog Whitefish Formula Grain Free Pea Free Dry Dog Food,Sport Dog Food,2018-01-07,United States,Pet Food,Dog Food - Dry,Sport Dog Food,Sport Dog Food,"total calories: 3863kcal, moisture: 9%, crudeprotein: 27%, crudefat: 16%, crudefiber: 3.9%",,3863.0,,,,16,3.9,27,9,,3863
60,6689105,Victor Classic Crunchy Dog Treats With Chicken Meal,Victor,2020-01-06,United States,Pet Food,Dog Snacks/Treats,Mid America Pet Food,Mid America Pet Food,"crudeprotein: 16%, moisture: 10%, crudefat: 6%, crudefiber: 5%",,,,,,6,5,16,10,,
61,7040110,Purina Bella Morsels In Sauce Prime Rib Flavor With Carrots And Potatoes Natural Dog Food,Bella,2020-01-12,United States,Pet Food,Dog Food - Wet,Nestle Purina,Nestle,"total calories: 986kcal, crude protein: 11%, crude fat: 2%, crude fiber: 1%, moisture: 78%",,986.0,,,,2,1,11,78,,986
62,7128915,Annamaet Salcha Grain Free Poultry Formula Canine Adult Dog Treats,Annamaet,2021-01-01,United States,Pet Food,Dog Snacks/Treats,Annamaet Petfoods,Annamaet Petfoods,": , crude protein: , min: 30.1%, crude fat: , min: 16.0%, crude fiber: , max:3.5%, moisture: , max:10%, sodium carbonate (ash): , max:7.5%, dha: , min: 0.2%, omega 6 fatty acids: , min: 3.5%, omega3 fattyacids: , min: 1.0%, l- carnitine: , min(g/mg): 35mg, metabolizable energy(g/mg): 3980kcal",,,,,,,,,,,
63,8043343,Iams Proactive Health Healthy Adult Cat Food With Chicken,Iams,2022-01-06,United States,Pet Food,Cat Food - Dry,Mars,Mars,"serving size: 1.00kg, total calories: 3746kcal, potassium: 0.70%, crude fiber: 3.00%, calcium: 0.80%, lcarnitine: 80.00mg, crudefat: 15.00%, crudeprotein: 32.00%, moisture: 10.00%, taurine: 0.15%, omega3fattyacids: 0.30%, omega6fattyacids: 3.00%",1000.0,374600.0,,,,3.00,3.00,32.00,10.00,,3746
64,5538336,Halo Grain Free Holistic Wild Salmon And Whitefish Recipe Dry Pet Food For Small Breed Dogs,Halo,2019-01-01,United States,Pet Food,Dog Food - Dry,Halo,Halo,,,,,,,,,,,,
65,5132787,Annamaet Ohana Grain Free Puppy Formula Dog Food,Annamaet Dog Food,2018-01-06,United States,Pet Food,Dog Food - Dry,Annamaet Petfoods,Annamaet Petfoods,"crudefiber: 3.5%, crudefat: 16%, crudeprotein: 30%, dha: 0.2%, omega3fattyacids: 1%, omega6fattyacids: 3.25%, total calories: 4122kcal, l-carnitine(g/mg): 35mg, sodium carbonate (ash): 7.5%, moisture: 10%",,4122.0,,,,3.25,3.5,30,10,7.5,4122
66,7955743,Hills Prescription Diet Cd Multicare Stress Plus Metabolic Dry Pet Food With Chicken Flavor For Cats,Prescription Diet,2022-01-05,United States,Pet Food,Cat Food - Dry,Hills Pet Nutrition,Colgate Palmolive,"serving size: 1.00kg, total calories: 3242kcal, fat: 12.00%, sodium: 0.35%, potassium: 0.86%, carbohydrate: 30.90%, protein: 38.60%, calcium: 0.69%, vitamine: 726.00iu, phosphorus: 0.61%, taurine: 0.43%, totalomega3fattyacids: 1.34%, totalomega6fattyacids: 3.49%, crudefiber: 13.30%, magnesium: 0.073%, vitamin c: 5ppm",1000.0,324200.0,0.0,0.0,,3.49,13.30,38.60,,,3242
67,7686285,Iams Proactive Health Weight And Hairball Care With Chicken And Turkey Dry Pet Food For Indoor Adult Cats,Iams,2021-01-12,United States,Pet Food,Cat Food - Dry,Mars,Mars,"per serving size: 1.0kg, total calories: 3364.0kcal, calcium: 0.750%, potassium: 0.650%, crude fat: 11.0%, crude fiber: 8.30%, l- carnitine(g/mg): 80.0mg, crude protein: 30.0%, moisture: 10.0%, omega6 fatty acid: 2.0%, phosphorus: 0.650%, taurine: 0.130%, omega 3  fatty acid: 0.20%",100.0,336.4,,,,11.0,8.30,30.0,10.0,,3364.0
68,7385385,"Purina Pro Plan Sport Performance Turkey, Duck And Quail Formula Dry Dog Food",Pro Plan,2021-01-06,United States,Pet Food,Dog Food - Dry,Nestle Purina,Nestle,"calcium: 1.10%, vitamin  a(g/mg): 15000.0iu, vitamin c (g/mg): 100.0mg, crude fat: 20.0%, crude fiber: 3.0%, eicosapentaenoic acid  (epa): 0.120%, glucosamine(g/mg): 500.0ppm, phosphorus(p): 0.90%, selenium(se)(g/mg): 0.350mg, vitamin  e(g/mg): 500.0iu, bacillus coagulans(g/mg): 600.0million cfu, crude protein: 30.0%, docosahexaenoicacid (dha): 0.120%, linoleic acid: 1.80%, moisture: 12.0%, omega 6 fatty acids: 1.9%",,,,,,20.0,3.0,30.0,12.0,,
69,5539187,"Purina Bella Grain Free Pate With Beef, Peas And Carrots In Savory Juices Natural Dog Food",Bella,2019-01-01,United States,Pet Food,Dog Food - Wet,Nestle Purina,Nestle,"total calories: 904kcal, moisture: 82%, crudeprotein: 8%, crudefat: 3.5%, crudefiber: 1%",,904.0,,,,3.5,1,8,82,,904
70,4974684,"Pureluxe Grain Free Holistic Elite Nutrition For Senior, Less Active And Overweight Cats Made With Turkey, Turkey Meal And Salmon",Pureluxe,2018-01-04,United States,Pet Food,Cat Food - Dry,Pureluxe,Pureluxe,"crudeprotein: 32%, crudefat: 12%, crudefiber: 5%, moisture: 10%, sodium carbonate (ash): 8%, calcium: 1.2%, phosphorus: 1%, magnesium: 0.15%, epa: 0.08%, totallactic acidmicroorganisms(g/mg): 80million cfu, vitaminemg: 80iu, glucosamine(g/mg): 700mg, omega-6fattyacids: 3%, omega-3fattyacids: 1%, dha: 0.12%, taurine(g/mg): 1200mg, l-carnitine(g/mg): 140mg, chondroitin(g/mg): 600mg",,,,,,1,5,32,10,8,
71,8163877,Victor Classic Hi Pro Strips Tender Beef Savory Treat For Dogs,Victor,2022-01-08,United States,Pet Food,Dog Snacks/Treats,Mid America Pet Food,Mid America Pet Food,"total carbohydrates: 0g,     per serving size: 1.0kg, total calories: 3025kcal, protein: 20%, crudef iber: 4%, fat: 7%, crud eprotein: 20%, crud efat: 7%, moisture: 28.0%",100.0,302.5,,,,7,,20,28.0,,3025
72,7128826,Annamaet Aqualuk Grain Free Cold Water Formula Canine Treats,Annamaet,2021-01-01,United States,Pet Food,Dog Snacks/Treats,Annamaet Petfoods,Annamaet Petfoods,,,,,,,,,,,,
73,7976217,Hills Prescription Diet Multi Benefit Wd Dry Pet Food With Chicken Flavor For Dogs,Prescription Diet,2022-01-04,United States,Pet Food,Dog Food - Dry,Hills Pet Nutrition,Colgate Palmolive,"serving size: 1kg, total calories: 3100kcal, fat: 13.00%, protein: 20.70%, carbohydrate / nfe: 45.20%, crude fiber: 16.00%, total dietary fiber: 27.60%, soluble fiber: 1.90%, insoluble fiber: 25.50%, calcium: 0.80%, phosphorus: 0.66%, potassium: 0.78%, sodium: 0.27%, magnesium: 0.09%, vitamin c: 140.00ppm, vitamin e: 682.00iu, total omega-3 fa: 0.35%, total omega-6 fa: 3.02%, carnitine: 515.80ppm",1000.0,310000.0,0.0,0.0,,13.00,25.50,20.70,,,3100
74,7509312,Dr Elseys Cleanprotein Turkey Recipe Grain Free Dry Cat Food,Dr Elseys,2021-01-10,United States,Pet Food,Cat Food - Dry,Dr Elseys,Dr Elseys,"per serving size: 1kg, energy kj: 17091.64kj, energy kcal: 4085kcal, crude fat: 18%, crude fiber: 4%, crude protein: 58%, docosahexaenoic acid (dha): 0.06%, eicosapentaenoic acid (epa): 0.06%, moisture: 12%, vitamin  e(g/mg): 150iu, omega 3  fatty acids: 1%",100.0,408.5,,,,18,4,58,12,,
75,4708577,Wholehearted Healthy Benefits Weight Control Dog Food With Lamb Meal And Pea Recipe,Instant Ocean,2018-01-01,United States,Pet Food,Dog Food - Dry,Spectrum Brands,Spectrum Brands,"zinc(g/mg): 150mg, selenium(g/mg): 0.3mg, l-carnitine(g/mg): 50mg, glucosamine(g/mg): 50mg, chondroitinsulfate(g/mg): 100mg, totalmicroorganisms(g/mg): 1million cfu, crudeprotein: 22%, crudefat: 6%, crudefiber: 10%, moisture: 10%, omega6fattyacids: 2%, omega3fattyacids: 0.4%",,,,,,0.4,10,22,10,,
76,7964507,Hills Prescription Diet Weight Reduction Rd Dry Pet Food With Chicken Flavor For Cats,Prescription Diet,2022-01-05,United States,Pet Food,Cat Food - Dry,Hills Pet Nutrition,Colgate Palmolive,"serving size: 1.00kg, total calories: 3018.00kcal, fat: 8.70%, sodium: 0.33%, potassium: 0.78%, carbohydrate: 35.40%, crude fiber: 14.20%, protein: 35.50%, calcium: 0.99%, vitamin e: 607.00iu, carnitine: 535.40ppm, phosphorus: 0.73%, magnesium: 0.072%, taurine: 0.34%, vitamin c: 125.00ppm",1000.0,301800.0,0.0,0.0,,8.70,14.20,35.50,,,3018.00
77,5608862,Halo Holistic Healthy Weight Grain Free Chicken And Chicken Liver Recipe For Indoor Cats,Halo,2019-01-02,United States,Pet Food,Cat Food - Dry,Halo,Halo,"total calories: 3610kcal, vitaminemg: 200iu, sodium carbonate (ash): 7.5%, crudeprotein: 32%, crudefat: 13%, crudefiber: 5%, moisture: 10%, taurine: 0.1%, omega6fattyacids: 3%, omega3fattyacids: 1%",,3610.0,,,,1,5,32,10,7.5,3610
78,5538424,Purina Pro Plan Simply Fit Patented Weight Loss System Adult Dry Dog Food,Pro Plan,2019-01-01,United States,Pet Food,Dog Food - Dry,Nestle Purina,Nestle,"total calories: 3930kcal, vitaminamg: 15000iu, vitamincmg: 70mg, selenium(g/mg): 0.35mg, vitaminemg: 460iu, glucosamine(g/mg): 400ppm, calcium: 0.9%, moisture: 12%, crudeprotein: 28%, crudefat: 18%, crudefiber: 3%, linoleic acid: 1.3%, phosphorus(p): 0.7%",,3930.0,,,,18,3,28,12,,3930
79,5326620,Sport Dog Food Active Series Field Dog Chicken And Sweet Potato Formula Dry Dog Food,Sport Dog Food,2018-01-10,United States,Pet Food,Dog Food - Dry,Sport Dog Food,Sport Dog Food,"total calories: 3413kcal, crudefat: 14%, crudefiber: 3.5%, moisture: 9%, crudeprotein: 29%",,3413.0,,,,14,3.5,29,9,,3413
80,7286804,Pure Balance Pro Plus Pate Chicken And Fish Formula Healthy Weight Food For Cats,Pure Balance,2021-01-05,United States,Pet Food,Cat Food - Wet,Walmart,Walmart,"per serving size: 1kg, crude fat: 4.0%, crude fiber: 3.0%, crude protein: 9.0%, docosahexaenoic acid (dha): 0%, l- carnitine(g/mg): 50mg, moisture: 78.0%, omega 6 fatty acids: 0.5%, taurine: 0.07%, vitamin c (g/mg): 50mg, vitamin  e(g/mg): 100iu, zinc(g/mg): 50mg, omega 3  fatty acids: 0.1%",100.0,,,,,4.0,3.0,9.0,78.0,,
81,4760916,Get Naked Weight Management All Natural Functional Soft Treats For Dogs,Get Naked,2018-01-01,United States,Pet Food,Dog Snacks/Treats,Natural Polymer International Corporation,Natural Polymer International Corporation,"total calories: 3050kcal, sodium: 0.6%, crudeprotein: 20%, crudefat: 6%, crudefiber: 8%, moisture: 19%, l-carnitine: 0.1%",,3050.0,,,,6,8,20,19,,3050
82,7421348,Stashios Soft Chews Plus Hip And Joint Support For Dogs,Stashios,2021-01-07,United States,Pet Food,Dog Snacks/Treats,Stashios,Stashios,"per serving size: 1kg, total calories: 3076kcal, chondroitinsulfate(g/mg): 800mg, glucosamine(g/mg): 800mg, l-carnitine(g/mg): 50mg, vitamincmg: 180mg, crudefat: 6%, crudefiber: 7%, crudeprotein: 13%, moisture: 25%",100.0,307600.0,,,,6,7,13,25,,3076
83,7683077,Optimeal Weight Management Turkey And Oatmeal Recipe Super Premium Food For Adult Cats,Optimeal,2022-01-02,United States,Pet Food,Cat Food - Dry,Kormotech,Kormotech,"serving size: 1.00kg, total calories: 3358.00kcal, vitamin a: 14890.00iu, vitamin c (ascorbic acid): 160.00mg, crude protein : 31.00%, crude fat: 10.00%, crude fiber: 8.75%, moisture : 8.00%, zinc : 126.00mg, copper : 10.90mg, selenium: 0.34mg, vitamin e: 355.00iu, taurine : 0.19%, l carnitine : 160.00mg, omega 3 fatty acids: 0.45%, omega 6 fatty acids: 1.95%",1000.0,335800.0,,,,10.00,8.75,31.00,8.00,,3358.00
84,5614074,Halo Holistic Wild Salmon And Whitefish Recipe For Kittens,Halo,2019-01-02,United States,Pet Food,Cat Food - Dry,Halo,Halo,"total calories: 3870kcal, vitaminemg: 250iu, omega6fattyacids: 3.3%, omega3fattyacids: 1.1%, crudeprotein: 33%, crudefat: 19%, crudefiber: 5%, moisture: 10%, sodium carbonate (ash): 8%, docosahexaenoicacid(dha): 10%, taurine: 10%",,3870.0,,,,19,5,33,10,8,3870
85,7964882,Hills Prescription Diet Metabolic Weight Management Dry Pet Food With Chicken Flavor For Cats,Prescription Diet,2022-01-05,United States,Pet Food,Cat Food - Dry,Hills Pet Nutrition,Colgate Palmolive,"serving size: 1.00kg, total calories: 3381.00kcal, fat: 13.00%, sodium: 0.32%, potassium: 0.73%, carbohydrate: 32.40%, crude fiber: 9.80%, protein: 38.40%, calcium: 1.01%, vitamin c: 153.00ppm, vitamine: 993.00iu, magnesium: 0.09%, phosphorus: 0.80%, taurine: 0.37%, carnitine: 993.70ppm",1000.0,338100.0,0.0,0.0,,13.00,9.80,38.40,,,3381.00
86,5539198,"Purina Bella Grain Free Pate With Lamb, Peas And Sweet Potatoes Natural Dog Food",Bella,2019-01-01,United States,Pet Food,Dog Food - Wet,Nestle Purina,Nestle,"crudeprotein: 7%, crudefat: 3.5%, crudefiber: 1%, moisture: 82%, total calories: 971kcal",,971.0,,,,3.5,1,7,82,,971
87,7128868,Annamaet Lean Grain Free Low Fat Formula Canine Adult Dog Treats,Annamaet,2021-01-01,United States,Pet Food,Dog Snacks/Treats,Annamaet Petfoods,Annamaet Petfoods,": , crude protein: , min: 30%, crude fat: , min: 7%, crude fat: , max:9%, crude fiber: , max:3.5%, moisture: , max:10%, sodium carbonate (ash): , max:7.5%, omega 6 fatty acids min: 2%, omega 3 fatty acids min: 0.6%, dha min: 0.2%, l-carnitine min(g/mg): 35mg, metabolizable energy(g/mg): 3242kcal",,,,,,,,,,,
88,8239218,Bark Itty Bitty Chicky Farm Raised Chicken And Rice Recipe For Small Adult Dogs,Bark,2022-01-09,United States,Pet Food,Dog Food - Dry,Barkbox,Barkbox,"serving size: 1kg, total calories: 3640kcal, crude fiber: 3.5%, crude protein: 26%, crude fat: 14%, moisture: 0.0%, vitamin e: 250iu, ascorbic acid (vitamin c): 100mg, l-carnitine: 50mg, glucosamine: 400mg, chondroitin sulfate: 200mg, selenium: 0.35mg, taurine: 0.15%, omega 6 fatty acids: 2.6%, omega3 fatty acids: 0.75%",1000.0,364000.0,,,,14,3.5,26,0.0,,3640
89,6688847,Victor Classic Crunchy Dog Treats With Lamb Meal,Victor,2020-01-06,United States,Pet Food,Dog Snacks/Treats,Mid America Pet Food,Mid America Pet Food,"crudeprotein: 14%, moisture: 10%, crudefat: 6%, crudefiber: 5%",,,,,,6,5,14,10,,
90,6624079,Rachael Ray Nutrish Super Medleys Vitality Blend Real Superfoods And Beef Recipe For Dogs,Rachael Ray Nutrish,2020-01-06,United States,Pet Food,Dog Food - Dry,Ainsworth Pet Nutrition,The J M Smucker Company,"vitaminamg: 5000iu, calcium: 0.5%, crudeprotein: 26%, crudefiber: 4%, crudefat: 14%, epaanddha: 0.05%, omega3fattyacids: 100%, moisture: 10%, phosphorus: 0.4%, taurine: 0.25%",,,,,,100,4,26,10,,
91,7955634,Hills Prescription Diet Cd Multicare Plus Metabolic Vegetables And Tuna Stew Wet Pet Food For Cats,Prescription Diet,2022-01-04,United States,Pet Food,Cat Food - Wet,Hills Pet Nutrition,Colgate Palmolive,"total carbohydrates: 0g,     per serving size: 82.0g, total calories: 61.0kcal, protein: 39.30%, calcium: 0.710%, fat: 14.50%, potassium: 0.90%, sodium: 0.410%, vitamin c (g/mg): 18.0ppm, total omega 3 fatty acids: 1.56%, crude fiber: 9.5%, phosphorus: 0.63%, magnesium: 0.078%, taurine: 0.43%, vitamin  e(g/mg): 572iu, totalomega 6 fatty acids: 3.48%, carnitine(g/mg): 937.2ppm",100.0,74.39,,,,14.50,9.5,39.30,,,61.0
92,7292742,Jinx Chicken And Sweet Potato Jerky Recipe Dog Treats,Jinx,2021-01-05,United States,Pet Food,Dog Snacks/Treats,Jinx,Jinx,"per serving size: 1kg, crude fat: 3%, crude fiber: 5%, crude protein: 30%, moisture: 28%, total calories: 2806kcal",100.0,280.6,,,,3,5,30,28,,2806
93,5552135,Wellness Complete Health Deboned Chicken And Chicken Meal Recipe Grain Free Food For Senior Cats,Wellness,2019-01-01,United States,Pet Food,Cat Food - Dry,Wellpet,Wellpet,"chondroitinsulfate(g/mg): 300mg, vitaminamg: 25000iu, vitaminemg: 200iu, glucosamine(g/mg): 400mg, l-carnitine(g/mg): 150mg, totallactic acidmicroorganisms(g/mg): 80million cfu, omega-6fattyacids: 2.5%, omega-3fattyacids: 1%, crudeprotein: 39%, crudefat: 11%, crudefiber: 5%, moisture: 10%, calcium: 1.5%, phosphorus: 1%, taurine: 0.2%",,,,,,11,5,39,10,,
94,8163863,Victor Classic Hi Pro Bites Tender Beef Training Treats For Dogs,Victor,2022-01-08,United States,Pet Food,Dog Snacks/Treats,Mid America Pet Food,Mid America Pet Food,"total carbohydrates: 0g,     per serving size: 1.0kg, total calories: 3025kcal, protein: 20%, crudef iber: 4%, fat: 7.0%, crud eprotein: 20%, crud efat: 7%, moisture: 28.0%",100.0,302.5,,,,7,,20,28.0,,3025
95,7465654,Merrick Grain Free Senior Real Chicken Plus Sweet Potato Recipe Dry Dog Food,Merrick,2021-01-08,United States,Pet Food,Dog Food - Dry,Merrick Pet Care,Nestle,"per serving size: 1kg, total calories: 3492kcal, glucosamine(g/mg): 1200mg, lcarnitine(g/mg): 200mg, chondroitinsulfatemin(g/mg): 1200mg, crudeprotein(min): 30%, moisture(max): 11%, taurine(min): 0.17%, crudefat(min): 12%, crudefiber(max): 3.5%, omega6fattyacid(min.): 3%, omega3fattyacid(min): 0.3%",100.0,349200.0,,,,12,3.5,30,11,,3492
96,8279083,Fromm Family Gold Indoor Cat Food,Fromm Family,2022-01-10,United States,Pet Food,Cat Food - Dry,Fromm Family Foods,Fromm Family Foods,"per serving size: 1kg, total calories: 3602.0kcal, crudef iber: 5%, crudef at: 15%, c rude protein: 32%, mositure: 10%",100.0,360.2,,,,,,32,,,3602.0
97,7976278,Hills Prescription Diet Metabolic Plus Mobility Jd Dry Pet Food With Chicken Flavor For Dogs,Prescription Diet,2022-01-04,United States,Pet Food,Dog Food - Dry,Hills Pet Nutrition,Colgate Palmolive,"serving size: 1kg, total calories: 3223kcal, protein: 28.5%, fat: 13.9%, carbohydrate / nfe: 37.4%, crude fiber: 13.9%, calcium: 0.95%, phosphorus: 0.72%, potassium: 0.99%, sodium: 0.38%, magnesium: 0.151%, vitamin c: 113ppm, vitamin e: 981iu, total omega-3 fa: 3.63%, total omega-6 fa: 2.43%",1000.0,322300.0,,,,13.9,13.9,28.5,,,3223
98,7131140,Because Animals Noochies Organic Dog Cookies Dog Treats,Because Animals,2021-01-01,United States,Pet Food,Dog Snacks/Treats,Because Animals,Because Animals,"crude protein minimum: 10%, crude fat minimum: 4%, crude fiber maximum: 2%, moisturemaximum: 9%, thaiamine vitamin b1: 3.4mg, riboflavin viamin b2: 6.7mg, vitaminb9(folicacid)mg: 0.6mg",,,,,,4,2,10,9,,
99,6076916,Sheba Perfect Portions Tender Whitefish And Tuna Entree Premium Cat Food,Sheba,2019-01-09,United States,Pet Food,Cat Food - Wet,Mars,Mars,"total calories: 1010kcal, sodium carbonate (ash): 3.5%, crudeprotein: 7%, crudefat: 2.5%, crudefiber: 1.5%, moisture: 84%, taurine: 0.06%",,1010.0,,,,2.5,1.5,7,84,3.5,1010
100,7388124,"True Meals Multi Protein Recipe Made With Chicken, Fish, Beef And Vegetables Adult Dog Food",True Meals,2021-01-06,United States,Pet Food,Dog Food - Dry,Tyson Pet Products,Tyson Foods,"per serving size: 1kg, total calories: 3550kcal, l-carnitine(g/mg): 150mg, vitamincmg: 100mg, vitaminemg: 300iu, crudefat: 13%, crudefiber: 4%, crudeprotein: 23%, moisture: 12%, omega6fattyacids: 2.1%, taurine: 0.15%, omega3fattyacids: 0.75%",100.0,355000.0,,,,0.75,4,23,12,,3550
101,7673444,Optimeal Nutrient Balance Chicken And Rice Recipe Dry Pet Food For Large Breed Adult Dogs,Optimeal,2022-01-02,United States,Pet Food,Dog Food - Dry,Kormotech,Kormotech,"per serving size: 1kg, energy kj: 14526.85kj, energy kcal: 3472kcal, calcium: 0.9%, chondroitin sulfate(g/mg): 500mg, copper(g/mg): 8.4mg, crude fat: 12%, crude fiber: 5.5%, crude protein: 22%, glucosamine hydrochloride(g/mg): 700mg, l- carnitine(g/mg): 120mg, moisture: 10%, omega 6 fatty acids: 2.4%, phosphorus: 0.7%, selenium(g/mg): 0.41mg, taurine: 0.9%, vitamin   a(g/mg): 11990iu, vitamin  e(g/mg): 355iu, zinc(g/mg): 182mg, vitamin c (ascorbic acid)(g/mg): 192mg, omega 3  fatty acids: 0.68%",100.0,347.2,,,,12,5.5,22,10,,
102,7447266,Purina One Plus Ideal Weight High Protein Real Turkey Dry Cat Food,Purina One,2021-01-09,United States,Pet Food,Cat Food - Dry,Nestle Purina,Nestle,"per serving size: 1kg, total calories: 3704kcal, vitaminamg: 10000iu, l-carnitine(g/mg): 200mg, vitaminemg: 100iu, seleniumse(g/mg): 0.35mg, zinczn(g/mg): 150mg, crudefat: 9%, crudefiber: 5%, crudeprotein: 42%, linoleic acid: 1.5%, moisture: 12%, phosphorus(p): 0.9%, taurine: 0.15%, calcium(ca): 1%, carbohydrateplus: 29%, omega-6fattyacids: 1.7%",100.0,370400.0,,,,1.7,5,42,12,,3704
103,5954762,Purina Bella Natural Bites Dry Dog Food With Real Chicken And Beef And Accents Of Sweet Potatoes And Spinach,Bella,2019-01-07,United States,Pet Food,Dog Food - Dry,Nestle Purina,Nestle,"total calories: 3675kcal, vitaminamg: 13000iu, seleniumse(g/mg): 0.4mg, vitaminemg: 150iu, calcium: 1.1%, crudeprotein: 26%, crudefat: 15.5%, crudefiber: 4%, moisture: 12%, phosphorus: 0.95%",,3675.0,,,,15.5,4,26,12,,3675
